(-24.410376, -39.855052, 53.042615)
(-24.414668, -39.858874, 53.037782)
(-24.418959, -39.862695, 53.032948)
(-24.423251, -39.866515, 53.028113)
(-24.427542, -39.870336, 53.023278)
(-24.431833, -39.874155, 53.018442)
(-24.436123, -39.877975, 53.013606)
(-24.440414, -39.881794, 53.008768)
(-24.444704, -39.885612, 53.003931)
(-24.448993, -39.889430, 52.999092)
(-24.453283, -39.893247, 52.994254)
(-24.457572, -39.897064, 52.989414)
(-24.461861, -39.900881, 52.984574)
(-24.466150, -39.904697, 52.979733)
(-24.470438, -39.908513, 52.974892)
(-24.474726, -39.912328, 52.970050)
(-24.479014, -39.916143, 52.965208)
(-24.483302, -39.919957, 52.960365)
(-24.487589, -39.923771, 52.955521)
(-24.491876, -39.927584, 52.950677)
(-24.496163, -39.931397, 52.945832)
(-24.500449, -39.935210, 52.940986)
(-24.504735, -39.939022, 52.936140)
(-24.509021, -39.942834, 52.931294)
(-24.513307, -39.946645, 52.926446)
(-24.517592, -39.950456, 52.921599)
(-24.521877, -39.954266, 52.916750)
(-24.526162, -39.958076, 52.911901)
(-24.530447, -39.961885, 52.907051)
(-24.534731, -39.965694, 52.902201)
(-24.539015, -39.969503, 52.897350)
(-24.543299, -39.973311, 52.892499)
(-24.547582, -39.977118, 52.887647)
(-24.551865, -39.980925, 52.882794)
(-24.556148, -39.984732, 52.877941)
(-24.560431, -39.988538, 52.873087)
(-24.564713, -39.992344, 52.868233)
(-24.568995, -39.996150, 52.863378)
(-24.573277, -39.999954, 52.858522)
(-24.577558, -40.003759, 52.853666)
(-24.581839, -40.007563, 52.848809)
(-24.586120, -40.011366, 52.843952)
(-24.590401, -40.015170, 52.839094)
(-24.594681, -40.018972, 52.834235)
(-24.598961, -40.022774, 52.829376)
(-24.603241, -40.026576, 52.824516)
(-24.607521, -40.030377, 52.819656)
(-24.611800, -40.034178, 52.814795)
(-24.616079, -40.037979, 52.809933)
(-24.620358, -40.041779, 52.805071)
(-24.624636, -40.045578, 52.800208)
(-24.628914, -40.049377, 52.795345)
(-24.633192, -40.053176, 52.790481)
(-24.637470, -40.056974, 52.785617)
(-24.641747, -40.060772, 52.780751)
(-24.646024, -40.064569, 52.775886)
(-24.650301, -40.068366, 52.771019)
(-24.654578, -40.072162, 52.766152)
(-24.658854, -40.075958, 52.761285)
(-24.663130, -40.079753, 52.756417)
(-24.667405, -40.083548, 52.751548)
(-24.671681, -40.087343, 52.746679)
(-24.675956, -40.091137, 52.741809)
(-24.680231, -40.094930, 52.736938)
(-24.684505, -40.098724, 52.732067)
(-24.688780, -40.102516, 52.727196)
(-24.693054, -40.106309, 52.722323)
(-24.697327, -40.110100, 52.717450)
(-24.701601, -40.113892, 52.712577)
(-24.705874, -40.117683, 52.707703)
(-24.710147, -40.121473, 52.702828)
(-24.714420, -40.125263, 52.697953)
(-24.718692, -40.129053, 52.693077)
(-24.722964, -40.132842, 52.688201)
(-24.727236, -40.136631, 52.683324)
(-24.731507, -40.140419, 52.678446)
(-24.735778, -40.144206, 52.673568)
(-24.740049, -40.147994, 52.668689)
(-24.744320, -40.151781, 52.663809)
(-24.748590, -40.155567, 52.658929)
(-24.752861, -40.159353, 52.654049)
(-24.757130, -40.163139, 52.649168)
(-24.761400, -40.166924, 52.644286)
(-24.765669, -40.170708, 52.639403)
(-24.769938, -40.174492, 52.634520)
(-24.774207, -40.178276, 52.629637)
(-24.778475, -40.182059, 52.624753)
(-24.782744, -40.185842, 52.619868)
(-24.787011, -40.189624, 52.614982)
(-24.791279, -40.193406, 52.610097)
(-24.795546, -40.197188, 52.605210)
(-24.799813, -40.200969, 52.600323)
(-24.804080, -40.204749, 52.595435)
(-24.808347, -40.208529, 52.590547)
(-24.812613, -40.212309, 52.585658)
(-24.816879, -40.216088, 52.580768)
(-24.821144, -40.219867, 52.575878)
(-24.825410, -40.223645, 52.570987)
(-24.829675, -40.227423, 52.566096)
(-24.833940, -40.231200, 52.561204)
(-24.838204, -40.234977, 52.556312)
(-24.842468, -40.238754, 52.551419)
(-24.846732, -40.242530, 52.546525)
(-24.850996, -40.246305, 52.541631)
(-24.855260, -40.250080, 52.536736)
(-24.859523, -40.253855, 52.531840)
(-24.863785, -40.257629, 52.526944)
(-24.868048, -40.261403, 52.522048)
(-24.872310, -40.265176, 52.517151)
(-24.876572, -40.268949, 52.512253)
(-24.880834, -40.272721, 52.507354)
(-24.885096, -40.276493, 52.502455)
(-24.889357, -40.280265, 52.497556)
(-24.893618, -40.284036, 52.492656)
(-24.897878, -40.287806, 52.487755)
(-24.902139, -40.291576, 52.482853)
(-24.906399, -40.295346, 52.477951)
(-24.910658, -40.299115, 52.473049)
(-24.914918, -40.302884, 52.468146)
(-24.919177, -40.306652, 52.463242)
(-24.923436, -40.310420, 52.458338)
