Track Object Material Regime X_Rate Y_Rate Z_Rate Original_Length Pad
1 antenna_1.stl SPECULAR STABLE 0.0 0.0 0.0 400 -0.333
10 cone_3.stl DIFFUSE TUMBLING 2.879 1.007 0.851 400 -0.333
100 panel_1.stl DIFFUSE TUMBLING 0.0 0.457 2.321 400 -0.333
1000 rod_3.stl DIFFUSE TUMBLING 2.255 1.958 1.197 400 -0.333
1001 rod_2.stl DIFFUSE TUMBLING 0.598 0.0 1.165 344 -0.147
1002 bus_1.stl DIFFUSE STABLE 2.463 0.0 0.0 400 -0.333
1004 panel_3.stl SOLAR TUMBLING 2.286 1.209 0.667 337 -0.123
1005 antenna_1.stl SPECULAR TUMBLING 0.514 1.225 0.0 306 -0.02
1006 bus_1.stl DIFFUSE TUMBLING 2.572 2.51 0.0 400 -0.333
1008 bus_2.stl DIFFUSE STABLE 0.0 0.0 1.251 400 -0.333
1009 panel_3.stl SPECULAR STABLE 0.0 0.0 0.0 393 -0.31
101 bus_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 -0.333
1010 cone_3.stl DIFFUSE STABLE 0.419 0.0 0.0 400 -0.333
1012 panel_1.stl SPECULAR STABLE 0.0 0.0 0.0 400 -0.333
1014 cone_1.stl DIFFUSE TUMBLING 1.256 0.0 0.27 383 -0.277
1015 bus_3.stl DIFFUSE TUMBLING 0.958 0.409 2.135 400 -0.333
1016 rod_3.stl DIFFUSE STABLE 2.962 0.0 0.0 400 -0.333
1018 rod_3.stl DIFFUSE TUMBLING 1.076 2.276 2.232 400 -0.333
1019 bus_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 -0.333
1021 rod_1.stl DIFFUSE TUMBLING 1.397 0.0 1.45 351 -0.17
1022 bus_1.stl DIFFUSE STABLE 0.0 0.902 0.0 400 -0.333
1025 panel_2.stl SOLAR TUMBLING 2.155 0.0 1.054 400 -0.333
1027 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 -0.333
1029 bus_2.stl DIFFUSE STABLE 0.0 0.0 1.245 400 -0.333
103 rod_3.stl DIFFUSE TUMBLING 2.982 2.331 0.0 378 -0.26
1030 bus_3.stl DIFFUSE STABLE 0.748 0.0 0.0 400 -0.333
1031 antenna_3.stl SPECULAR TUMBLING 2.651 0.767 1.612 400 -0.333
1032 panel_2.stl DIFFUSE STABLE 2.728 0.0 0.0 400 -0.333
1033 panel_2.stl SOLAR STABLE 0.0 0.0 0.0 400 -0.333
1034 bus_2.stl DIFFUSE STABLE 0.301 0.0 0.0 400 -0.333
1035 panel_2.stl SOLAR TUMBLING 0.818 2.257 0.0 259 0.137
1036 cone_2.stl DIFFUSE STABLE 0.0 0.577 0.0 390 -0.3
1037 cone_3.stl DIFFUSE STABLE 0.0 0.0 1.431 400 -0.333
1039 panel_1.stl DIFFUSE TUMBLING 2.28 3.029 1.32 400 -0.333
1041 cone_1.stl DIFFUSE STABLE 0.0 0.0 2.639 400 -0.333
1042 bus_1.stl DIFFUSE TUMBLING 2.609 1.092 2.781 400 -0.333
1043 panel_1.stl SPECULAR TUMBLING 0.285 1.312 1.808 400 -0.333
1045 panel_3.stl SPECULAR TUMBLING 1.472 1.749 1.357 356 -0.187
1046 panel_3.stl SOLAR TUMBLING 0.474 1.757 1.931 400 -0.333
1047 rod_2.stl DIFFUSE STABLE 0.0 0.0 0.0 280 0.067
1048 bus_2.stl DIFFUSE STABLE 0.0 0.236 0.0 400 -0.333
1049 rod_3.stl DIFFUSE STABLE 0.307 0.0 0.0 400 -0.333
105 rod_1.stl DIFFUSE TUMBLING 0.0 2.874 1.994 400 -0.333
1050 antenna_3.stl SPECULAR STABLE 3.065 0.0 0.0 400 -0.333
1052 antenna_2.stl SPECULAR STABLE 0.0 0.0 0.0 308 -0.027
