Track Object Material Regime X_Rate Y_Rate Z_Rate Original_Length Pad
10 cone_3.stl DIFFUSE TUMBLING 2.879 1.007 0.851 400 0.0
100 panel_1.stl DIFFUSE TUMBLING 0.0 0.457 2.321 400 0.0
1000 rod_3.stl DIFFUSE TUMBLING 2.255 1.958 1.197 400 0.0
1006 bus_1.stl DIFFUSE TUMBLING 2.572 2.51 0.0 400 0.0
1014 cone_1.stl DIFFUSE TUMBLING 1.256 0.0 0.27 383 0.043
1015 bus_3.stl DIFFUSE TUMBLING 0.958 0.409 2.135 400 0.0
1018 rod_3.stl DIFFUSE TUMBLING 1.076 2.276 2.232 400 0.0
1021 rod_1.stl DIFFUSE TUMBLING 1.397 0.0 1.45 351 0.122
1025 panel_2.stl SOLAR TUMBLING 2.155 0.0 1.054 400 0.0
103 rod_3.stl DIFFUSE TUMBLING 2.982 2.331 0.0 378 0.055
1031 antenna_3.stl SPECULAR TUMBLING 2.651 0.767 1.612 400 0.0
1039 panel_1.stl DIFFUSE TUMBLING 2.28 3.029 1.32 400 0.0
1042 bus_1.stl DIFFUSE TUMBLING 2.609 1.092 2.781 400 0.0
1043 panel_1.stl SPECULAR TUMBLING 0.285 1.312 1.808 400 0.0
1045 panel_3.stl SPECULAR TUMBLING 1.472 1.749 1.357 356 0.11
1046 panel_3.stl SOLAR TUMBLING 0.474 1.757 1.931 400 0.0
105 rod_1.stl DIFFUSE TUMBLING 0.0 2.874 1.994 400 0.0
1054 panel_3.stl SOLAR TUMBLING 0.925 2.301 3.001 400 0.0
1058 panel_1.stl SOLAR TUMBLING 0.739 1.665 1.758 400 0.0
1059 cone_3.stl DIFFUSE TUMBLING 0.406 2.428 2.508 400 0.0
1069 antenna_1.stl SPECULAR TUMBLING 0.524 2.807 0.407 400 0.0
1070 cone_3.stl DIFFUSE TUMBLING 2.481 2.563 0.0 400 0.0
1072 antenna_2.stl SPECULAR TUMBLING 2.406 1.613 0.956 400 0.0
1073 panel_3.stl SOLAR TUMBLING 1.262 0.515 2.263 400 0.0
1077 antenna_3.stl SPECULAR TUMBLING 0.0 1.639 1.869 400 0.0
1082 bus_1.stl DIFFUSE TUMBLING 0.587 2.994 2.865 400 0.0
1083 panel_2.stl DIFFUSE TUMBLING 1.948 1.028 0.0 400 0.0
1085 bus_2.stl DIFFUSE TUMBLING 1.916 3.026 0.697 400 0.0
